holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
No,281.6,0.0,0.5,52,Snow,light snow,2025-08-04 12:00:00,678
No,302.0,0.0,0.0,23,Clear,sky is clear,2025-08-04 13:00:00,1379
No,288.4,0.0,0.0,31,Clouds,overcast clouds,2025-08-04 14:00:00,1547
No,292.3,2.0,0.0,6,Rain,heavy rain,2025-08-04 15:00:00,530
No,309.1,2.0,0.0,59,Rain,heavy rain,2025-08-04 16:00:00,3267
No,287.8,0.5,0.0,38,Rain,light rain,2025-08-04 17:00:00,2902
No,290.3,0.0,0.5,64,Snow,light snow,2025-08-04 18:00:00,2614
No,282.7,0.0,0.5,71,Snow,light snow,2025-08-04 19:00:00,361
No,295.8,2.0,0.0,42,Rain,heavy rain,2025-08-04 20:00:00,200
No,289.9,0.0,0.0,7,Clear,sky is clear,2025-08-04 21:00:00,558
No,300.4,0.0,0.5,41,Snow,light snow,2025-08-04 22:00:00,200
No,296.0,2.0,0.0,22,Rain,heavy rain,2025-08-04 23:00:00,207
No,292.6,0.5,0.0,40,Rain,light rain,2025-08-05 00:00:00,299
No,295.3,0.0,0.0,31,Clear,sky is clear,2025-08-05 01:00:00,498
No,298.3,0.0,0.0,58,Clouds,overcast clouds,2025-08-05 02:00:00,581
No,308.5,0.5,0.0,43,Rain,light rain,2025-08-05 03:00:00,200
No,294.9,2.0,0.0,31,Rain,heavy rain,2025-08-05 04:00:00,295
No,291.3,0.0,0.0,70,Clear,sky is clear,2025-08-05 05:00:00,912
No,298.4,0.0,0.5,70,Snow,light snow,2025-08-05 06:00:00,200
No,295.4,0.5,0.0,56,Rain,light rain,2025-08-05 07:00:00,3404
No,292.8,0.0,0.5,60,Snow,light snow,2025-08-05 08:00:00,3408
No,292.5,2.0,0.0,52,Rain,heavy rain,2025-08-05 09:00:00,4791
No,301.4,2.0,0.0,21,Rain,heavy rain,2025-08-05 10:00:00,863
No,292.7,0.0,0.0,50,Clouds,overcast clouds,2025-08-05 11:00:00,1489
No,282.3,0.0,0.5,41,Snow,light snow,2025-08-05 12:00:00,669
No,289.0,0.0,0.0,22,Clouds,overcast clouds,2025-08-05 13:00:00,1685
No,301.0,2.0,0.0,35,Rain,heavy rain,2025-08-05 14:00:00,1094
No,308.1,0.0,0.0,56,Clear,sky is clear,2025-08-05 15:00:00,1340
No,300.9,2.0,0.0,23,Rain,heavy rain,2025-08-05 16:00:00,3799
No,297.7,0.5,0.0,54,Rain,light rain,2025-08-05 17:00:00,2624
No,282.8,0.0,0.5,75,Snow,light snow,2025-08-05 18:00:00,3390
No,302.2,2.0,0.0,74,Rain,heavy rain,2025-08-05 19:00:00,290
No,290.6,0.0,0.5,58,Snow,light snow,2025-08-05 20:00:00,200
No,303.7,0.0,0.0,41,Clouds,overcast clouds,2025-08-05 21:00:00,774
No,290.5,0.0,0.0,25,Clouds,overcast clouds,2025-08-05 22:00:00,841
No,288.0,0.5,0.0,61,Rain,light rain,2025-08-05 23:00:00,200
No,304.3,0.0,0.0,87,Clear,sky is clear,2025-08-06 00:00:00,456
No,290.3,0.0,0.5,72,Snow,light snow,2025-08-06 01:00:00,200
No,287.6,0.0,0.0,42,Clear,sky is clear,2025-08-06 02:00:00,397
No,306.5,0.0,0.5,70,Snow,light snow,2025-08-06 03:00:00,200
No,290.1,0.0,0.5,30,Snow,light snow,2025-08-06 04:00:00,200
No,296.0,0.0,0.5,6,Snow,light snow,2025-08-06 05:00:00,200
No,295.1,0.0,0.5,41,Snow,light snow,2025-08-06 06:00:00,200
No,302.6,0.0,0.0,66,Clouds,overcast clouds,2025-08-06 07:00:00,4403
No,298.7,0.5,0.0,84,Rain,light rain,2025-08-06 08:00:00,4293
No,290.1,2.0,0.0,30,Rain,heavy rain,2025-08-06 09:00:00,3946
No,289.2,0.0,0.0,89,Clouds,overcast clouds,2025-08-06 10:00:00,1502
No,309.2,0.5,0.0,52,Rain,light rain,2025-08-06 11:00:00,850
No,296.0,0.5,0.0,0,Rain,light rain,2025-08-06 12:00:00,1117
No,300.8,0.0,0.5,79,Snow,light snow,2025-08-06 13:00:00,626
No,287.8,0.0,0.5,100,Snow,light snow,2025-08-06 14:00:00,848
No,303.0,0.0,0.0,24,Clouds,overcast clouds,2025-08-06 15:00:00,1450
No,303.5,0.0,0.5,64,Snow,light snow,2025-08-06 16:00:00,3321
No,287.8,2.0,0.0,49,Rain,heavy rain,2025-08-06 17:00:00,4173
No,303.5,0.0,0.0,25,Clouds,overcast clouds,2025-08-06 18:00:00,5180
No,310.2,0.0,0.0,61,Clear,sky is clear,2025-08-06 19:00:00,910
No,299.2,2.0,0.0,54,Rain,heavy rain,2025-08-06 20:00:00,334
No,291.8,0.0,0.5,69,Snow,light snow,2025-08-06 21:00:00,200
No,292.2,0.0,0.5,98,Snow,light snow,2025-08-06 22:00:00,200
No,294.7,2.0,0.0,62,Rain,heavy rain,2025-08-06 23:00:00,200
No,296.6,0.5,0.0,64,Rain,light rain,2025-08-07 00:00:00,200
No,302.3,2.0,0.0,23,Rain,heavy rain,2025-08-07 01:00:00,200
No,291.8,0.0,0.0,75,Clear,sky is clear,2025-08-07 02:00:00,357
No,293.1,2.0,0.0,26,Rain,heavy rain,2025-08-07 03:00:00,218
No,283.2,0.0,0.0,52,Clear,sky is clear,2025-08-07 04:00:00,736
No,289.8,0.5,0.0,37,Rain,light rain,2025-08-07 05:00:00,200
No,297.7,2.0,0.0,87,Rain,heavy rain,2025-08-07 06:00:00,675
No,295.4,0.0,0.0,20,Clouds,overcast clouds,2025-08-07 07:00:00,2973
No,287.7,0.0,0.0,35,Clear,sky is clear,2025-08-07 08:00:00,4470
No,288.1,2.0,0.0,16,Rain,heavy rain,2025-08-07 09:00:00,3120
No,295.3,2.0,0.0,89,Rain,heavy rain,2025-08-07 10:00:00,931
No,292.7,0.5,0.0,50,Rain,light rain,2025-08-07 11:00:00,985
No,314.0,0.0,0.5,32,Snow,light snow,2025-08-07 12:00:00,562
No,292.9,0.0,0.0,90,Clouds,overcast clouds,2025-08-07 13:00:00,1666
No,284.7,0.5,0.0,49,Rain,light rain,2025-08-07 14:00:00,929
No,301.1,0.0,0.0,26,Clouds,overcast clouds,2025-08-07 15:00:00,1598
No,287.2,0.0,0.5,65,Snow,light snow,2025-08-07 16:00:00,4169
No,288.2,0.0,0.0,53,Clouds,overcast clouds,2025-08-07 17:00:00,3999
No,297.6,0.5,0.0,62,Rain,light rain,2025-08-07 18:00:00,3466
No,283.4,0.0,0.5,79,Snow,light snow,2025-08-07 19:00:00,695
No,302.6,0.0,0.0,69,Clear,sky is clear,2025-08-07 20:00:00,1040
No,296.0,0.0,0.5,22,Snow,light snow,2025-08-07 21:00:00,344
No,289.3,0.0,0.0,39,Clear,sky is clear,2025-08-07 22:00:00,836
No,285.4,2.0,0.0,0,Rain,heavy rain,2025-08-07 23:00:00,237
No,306.9,0.0,0.5,55,Snow,light snow,2025-08-08 00:00:00,200
No,294.7,2.0,0.0,53,Rain,heavy rain,2025-08-08 01:00:00,200
No,289.4,2.0,0.0,37,Rain,heavy rain,2025-08-08 02:00:00,324
No,297.2,2.0,0.0,53,Rain,heavy rain,2025-08-08 03:00:00,315
No,307.8,0.5,0.0,25,Rain,light rain,2025-08-08 04:00:00,450
No,303.3,2.0,0.0,69,Rain,heavy rain,2025-08-08 05:00:00,422
No,291.0,0.5,0.0,56,Rain,light rain,2025-08-08 06:00:00,302
No,296.2,0.5,0.0,70,Rain,light rain,2025-08-08 07:00:00,4124
No,310.6,2.0,0.0,59,Rain,heavy rain,2025-08-08 08:00:00,2586
No,289.5,0.5,0.0,54,Rain,light rain,2025-08-08 09:00:00,4453
No,281.6,0.0,0.0,61,Clear,sky is clear,2025-08-08 10:00:00,1171
No,290.4,0.0,0.5,70,Snow,light snow,2025-08-08 11:00:00,612
No,297.5,0.5,0.0,67,Rain,light rain,2025-08-08 12:00:00,1416
No,294.2,0.0,0.0,59,Clouds,overcast clouds,2025-08-08 13:00:00,1313
No,285.4,0.0,0.5,20,Snow,light snow,2025-08-08 14:00:00,631
No,295.4,0.0,0.0,39,Clouds,overcast clouds,2025-08-08 15:00:00,1318
No,304.3,0.5,0.0,25,Rain,light rain,2025-08-08 16:00:00,3127
No,298.3,0.0,0.0,14,Clouds,overcast clouds,2025-08-08 17:00:00,3968
No,296.8,2.0,0.0,77,Rain,heavy rain,2025-08-08 18:00:00,2992
No,300.1,0.0,0.0,26,Clear,sky is clear,2025-08-08 19:00:00,1032
No,293.4,0.0,0.5,27,Snow,light snow,2025-08-08 20:00:00,200
No,292.3,2.0,0.0,44,Rain,heavy rain,2025-08-08 21:00:00,424
No,308.7,0.0,0.0,50,Clouds,overcast clouds,2025-08-08 22:00:00,664
No,295.4,0.0,0.5,33,Snow,light snow,2025-08-08 23:00:00,200
No,283.6,2.0,0.0,91,Rain,heavy rain,2025-08-09 00:00:00,200
No,286.8,0.0,0.5,87,Snow,light snow,2025-08-09 01:00:00,200
No,278.3,0.0,0.0,7,Clouds,overcast clouds,2025-08-09 02:00:00,200
No,281.0,0.5,0.0,0,Rain,light rain,2025-08-09 03:00:00,200
No,285.6,0.5,0.0,70,Rain,light rain,2025-08-09 04:00:00,200
No,286.6,2.0,0.0,54,Rain,heavy rain,2025-08-09 05:00:00,200
No,289.5,0.0,0.0,25,Clouds,overcast clouds,2025-08-09 06:00:00,200
No,302.7,2.0,0.0,46,Rain,heavy rain,2025-08-09 07:00:00,2560
No,300.9,2.0,0.0,46,Rain,heavy rain,2025-08-09 08:00:00,2422
No,291.7,0.5,0.0,63,Rain,light rain,2025-08-09 09:00:00,3277
No,272.6,0.5,0.0,36,Rain,light rain,2025-08-09 10:00:00,200
No,302.2,0.0,0.0,59,Clear,sky is clear,2025-08-09 11:00:00,200
No,287.5,2.0,0.0,69,Rain,heavy rain,2025-08-09 12:00:00,200
No,297.8,0.0,0.0,66,Clouds,overcast clouds,2025-08-09 13:00:00,308
No,283.1,0.0,0.0,64,Clear,sky is clear,2025-08-09 14:00:00,537
No,303.2,0.0,0.0,27,Clear,sky is clear,2025-08-09 15:00:00,443
No,309.6,0.0,0.0,71,Clear,sky is clear,2025-08-09 16:00:00,2514
No,301.0,0.0,0.5,42,Snow,light snow,2025-08-09 17:00:00,1875
No,300.5,0.5,0.0,26,Rain,light rain,2025-08-09 18:00:00,1869
No,301.7,0.5,0.0,82,Rain,light rain,2025-08-09 19:00:00,200
No,282.4,0.0,0.0,51,Clouds,overcast clouds,2025-08-09 20:00:00,200
No,298.0,0.0,0.0,78,Clear,sky is clear,2025-08-09 21:00:00,200
No,301.7,2.0,0.0,81,Rain,heavy rain,2025-08-09 22:00:00,200
No,295.2,0.0,0.0,39,Clouds,overcast clouds,2025-08-09 23:00:00,200
No,302.8,0.5,0.0,51,Rain,light rain,2025-08-10 00:00:00,200
No,289.5,2.0,0.0,77,Rain,heavy rain,2025-08-10 01:00:00,200
No,293.1,0.5,0.0,31,Rain,light rain,2025-08-10 02:00:00,200
No,286.3,2.0,0.0,100,Rain,heavy rain,2025-08-10 03:00:00,200
No,298.3,0.0,0.5,48,Snow,light snow,2025-08-10 04:00:00,200
No,302.4,2.0,0.0,92,Rain,heavy rain,2025-08-10 05:00:00,200
No,304.3,0.5,0.0,16,Rain,light rain,2025-08-10 06:00:00,200
No,298.7,0.0,0.0,52,Clouds,overcast clouds,2025-08-10 07:00:00,3833
No,298.2,2.0,0.0,5,Rain,heavy rain,2025-08-10 08:00:00,2450
No,300.2,0.0,0.0,75,Clouds,overcast clouds,2025-08-10 09:00:00,2908
No,301.1,0.5,0.0,18,Rain,light rain,2025-08-10 10:00:00,200
No,296.1,0.0,0.0,63,Clouds,overcast clouds,2025-08-10 11:00:00,336
No,295.1,0.0,0.5,14,Snow,light snow,2025-08-10 12:00:00,200
No,305.2,0.0,0.0,44,Clear,sky is clear,2025-08-10 13:00:00,601
No,284.2,0.0,0.0,32,Clear,sky is clear,2025-08-10 14:00:00,224
No,277.2,0.0,0.0,47,Clouds,overcast clouds,2025-08-10 15:00:00,240
No,274.0,0.0,0.0,76,Clear,sky is clear,2025-08-10 16:00:00,4299
No,289.4,0.0,0.5,68,Snow,light snow,2025-08-10 17:00:00,3089
No,293.8,2.0,0.0,27,Rain,heavy rain,2025-08-10 18:00:00,1707
No,288.8,0.0,0.5,41,Snow,light snow,2025-08-10 19:00:00,200
No,297.8,0.0,0.0,41,Clear,sky is clear,2025-08-10 20:00:00,200
No,291.5,0.0,0.5,48,Snow,light snow,2025-08-10 21:00:00,200
No,283.1,0.0,0.0,24,Clouds,overcast clouds,2025-08-10 22:00:00,200
No,297.6,0.0,0.0,20,Clouds,overcast clouds,2025-08-10 23:00:00,200
No,290.1,0.0,0.0,78,Clear,sky is clear,2025-08-11 00:00:00,559
No,293.0,0.5,0.0,42,Rain,light rain,2025-08-11 01:00:00,200
No,296.1,2.0,0.0,59,Rain,heavy rain,2025-08-11 02:00:00,200
No,295.5,0.5,0.0,64,Rain,light rain,2025-08-11 03:00:00,200
No,295.0,0.5,0.0,62,Rain,light rain,2025-08-11 04:00:00,371
No,306.2,2.0,0.0,5,Rain,heavy rain,2025-08-11 05:00:00,261
No,294.1,2.0,0.0,9,Rain,heavy rain,2025-08-11 06:00:00,207
No,298.9,0.0,0.5,78,Snow,light snow,2025-08-11 07:00:00,4069
No,298.6,0.0,0.0,30,Clear,sky is clear,2025-08-11 08:00:00,3942
No,301.6,0.0,0.0,0,Clouds,overcast clouds,2025-08-11 09:00:00,4972
No,284.4,0.0,0.5,18,Snow,light snow,2025-08-11 10:00:00,468
No,301.9,2.0,0.0,8,Rain,heavy rain,2025-08-11 11:00:00,889
No,297.6,0.0,0.0,47,Clouds,overcast clouds,2025-08-11 12:00:00,1542
No,274.6,0.0,0.0,49,Clouds,overcast clouds,2025-08-11 13:00:00,1317
No,285.5,0.5,0.0,72,Rain,light rain,2025-08-11 14:00:00,1130
No,302.2,0.5,0.0,58,Rain,light rain,2025-08-11 15:00:00,926
No,283.0,2.0,0.0,43,Rain,heavy rain,2025-08-11 16:00:00,3126
No,289.1,2.0,0.0,50,Rain,heavy rain,2025-08-11 17:00:00,3515
No,284.1,0.5,0.0,100,Rain,light rain,2025-08-11 18:00:00,2999
No,312.2,2.0,0.0,22,Rain,heavy rain,2025-08-11 19:00:00,400
No,299.8,0.5,0.0,74,Rain,light rain,2025-08-11 20:00:00,361
No,282.5,0.0,0.0,2,Clear,sky is clear,2025-08-11 21:00:00,809
No,283.0,2.0,0.0,85,Rain,heavy rain,2025-08-11 22:00:00,315
No,295.2,0.0,0.0,32,Clouds,overcast clouds,2025-08-11 23:00:00,368
No,303.6,0.0,0.0,57,Clouds,overcast clouds,2025-08-12 00:00:00,586
No,289.5,2.0,0.0,73,Rain,heavy rain,2025-08-12 01:00:00,200
No,298.4,2.0,0.0,99,Rain,heavy rain,2025-08-12 02:00:00,200
No,290.4,0.0,0.0,58,Clear,sky is clear,2025-08-12 03:00:00,714
No,296.1,0.0,0.0,18,Clear,sky is clear,2025-08-12 04:00:00,821
No,286.5,2.0,0.0,72,Rain,heavy rain,2025-08-12 05:00:00,219
No,304.2,2.0,0.0,100,Rain,heavy rain,2025-08-12 06:00:00,200
No,287.8,0.5,0.0,2,Rain,light rain,2025-08-12 07:00:00,3359
No,305.3,0.5,0.0,32,Rain,light rain,2025-08-12 08:00:00,4537
No,281.0,0.5,0.0,37,Rain,light rain,2025-08-12 09:00:00,2573
No,298.1,0.0,0.5,57,Snow,light snow,2025-08-12 10:00:00,563
No,294.0,2.0,0.0,77,Rain,heavy rain,2025-08-12 11:00:00,1355
No,291.2,0.0,0.0,0,Clear,sky is clear,2025-08-12 12:00:00,1471
No,322.2,0.0,0.0,68,Clouds,overcast clouds,2025-08-12 13:00:00,1415
No,294.0,0.0,0.0,76,Clouds,overcast clouds,2025-08-12 14:00:00,1487
No,304.9,0.5,0.0,100,Rain,light rain,2025-08-12 15:00:00,970
No,297.4,0.5,0.0,62,Rain,light rain,2025-08-12 16:00:00,3194
No,296.5,0.0,0.0,67,Clouds,overcast clouds,2025-08-12 17:00:00,4677
No,290.0,0.0,0.5,62,Snow,light snow,2025-08-12 18:00:00,3407
No,293.8,2.0,0.0,39,Rain,heavy rain,2025-08-12 19:00:00,723
No,296.8,0.0,0.0,77,Clouds,overcast clouds,2025-08-12 20:00:00,901
No,303.1,0.5,0.0,100,Rain,light rain,2025-08-12 21:00:00,277
No,282.7,0.0,0.0,57,Clear,sky is clear,2025-08-12 22:00:00,516
No,297.6,0.0,0.5,2,Snow,light snow,2025-08-12 23:00:00,200
No,294.7,0.0,0.0,39,Clouds,overcast clouds,2025-08-13 00:00:00,697
No,288.9,0.0,0.0,57,Clouds,overcast clouds,2025-08-13 01:00:00,305
No,299.2,2.0,0.0,32,Rain,heavy rain,2025-08-13 02:00:00,200
No,286.7,0.5,0.0,3,Rain,light rain,2025-08-13 03:00:00,200
No,312.5,2.0,0.0,88,Rain,heavy rain,2025-08-13 04:00:00,311
No,290.0,0.5,0.0,63,Rain,light rain,2025-08-13 05:00:00,200
No,290.0,2.0,0.0,69,Rain,heavy rain,2025-08-13 06:00:00,304
No,297.4,0.0,0.0,85,Clouds,overcast clouds,2025-08-13 07:00:00,3890
No,301.6,0.0,0.0,55,Clear,sky is clear,2025-08-13 08:00:00,3977
No,285.9,2.0,0.0,44,Rain,heavy rain,2025-08-13 09:00:00,4367
No,299.5,0.5,0.0,34,Rain,light rain,2025-08-13 10:00:00,1022
No,298.5,0.5,0.0,68,Rain,light rain,2025-08-13 11:00:00,1234
No,291.8,0.5,0.0,55,Rain,light rain,2025-08-13 12:00:00,1064
No,299.8,0.5,0.0,74,Rain,light rain,2025-08-13 13:00:00,1135
No,288.2,0.5,0.0,65,Rain,light rain,2025-08-13 14:00:00,1412
No,283.0,0.0,0.0,33,Clear,sky is clear,2025-08-13 15:00:00,1545
No,306.2,0.0,0.5,38,Snow,light snow,2025-08-13 16:00:00,4193
No,298.5,2.0,0.0,16,Rain,heavy rain,2025-08-13 17:00:00,3655
No,298.4,0.5,0.0,73,Rain,light rain,2025-08-13 18:00:00,4796
No,304.6,0.0,0.0,84,Clouds,overcast clouds,2025-08-13 19:00:00,906
No,305.1,0.0,0.0,45,Clouds,overcast clouds,2025-08-13 20:00:00,961
No,297.5,0.5,0.0,70,Rain,light rain,2025-08-13 21:00:00,200
No,298.8,2.0,0.0,31,Rain,heavy rain,2025-08-13 22:00:00,200
No,302.3,2.0,0.0,17,Rain,heavy rain,2025-08-13 23:00:00,200
No,294.3,2.0,0.0,46,Rain,heavy rain,2025-08-14 00:00:00,200
No,284.8,0.0,0.0,41,Clear,sky is clear,2025-08-14 01:00:00,548
No,305.7,0.0,0.0,38,Clouds,overcast clouds,2025-08-14 02:00:00,611
No,289.5,0.0,0.0,22,Clear,sky is clear,2025-08-14 03:00:00,549
No,311.6,0.0,0.0,35,Clear,sky is clear,2025-08-14 04:00:00,784
No,272.9,0.0,0.0,66,Clear,sky is clear,2025-08-14 05:00:00,666
No,297.0,0.0,0.0,53,Clear,sky is clear,2025-08-14 06:00:00,961
No,273.3,2.0,0.0,22,Rain,heavy rain,2025-08-14 07:00:00,2954
No,308.1,0.0,0.0,55,Clouds,overcast clouds,2025-08-14 08:00:00,3389
No,287.5,0.0,0.0,9,Clear,sky is clear,2025-08-14 09:00:00,3670
No,294.4,2.0,0.0,56,Rain,heavy rain,2025-08-14 10:00:00,593
No,294.8,0.5,0.0,22,Rain,light rain,2025-08-14 11:00:00,635
No,294.0,0.0,0.5,37,Snow,light snow,2025-08-14 12:00:00,607
No,291.6,0.5,0.0,100,Rain,light rain,2025-08-14 13:00:00,1383
No,303.7,0.0,0.5,11,Snow,light snow,2025-08-14 14:00:00,843
No,297.3,0.0,0.0,23,Clouds,overcast clouds,2025-08-14 15:00:00,1443
No,302.1,0.0,0.0,39,Clouds,overcast clouds,2025-08-14 16:00:00,3799
No,296.2,0.0,0.5,48,Snow,light snow,2025-08-14 17:00:00,3555
No,284.7,0.0,0.0,35,Clouds,overcast clouds,2025-08-14 18:00:00,3656
No,289.9,0.0,0.0,33,Clouds,overcast clouds,2025-08-14 19:00:00,922
No,284.9,2.0,0.0,54,Rain,heavy rain,2025-08-14 20:00:00,444
No,285.9,0.5,0.0,52,Rain,light rain,2025-08-14 21:00:00,200
No,294.1,2.0,0.0,51,Rain,heavy rain,2025-08-14 22:00:00,200
No,281.3,0.0,0.0,28,Clear,sky is clear,2025-08-14 23:00:00,454
Yes,305.0,0.5,0.0,67,Rain,light rain,2025-08-15 00:00:00,211
Yes,292.1,2.0,0.0,0,Rain,heavy rain,2025-08-15 01:00:00,200
Yes,289.8,0.5,0.0,53,Rain,light rain,2025-08-15 02:00:00,200
